Muscle,Location,Origin,Insertion,Artery,Nerve,Action,Antagonist,O,TA
occipitalis,"head, occipitofrontalis, back of skull (left/right)","superior nuchal line of occipital bone, mastoid part of temporal bone",epicranial aponeurosis,occipital artery,"facial nerve [CNVII], posterior auricular nerve",retracts scalp,?,2,1
frontalis,"head, occipitofrontalis, forehead (left/right)",skin of eyebrow and glabella,epicranial aponeurosis,ophthalmic artery,"facial nerve [CNVII], temporal branch",wrinkles eyebrow,"procerus, corrugator supercilii, and orbicularis oculi muscles",2,1
"orbicularis oculi, orbital part","head, forehead/eyelid (left/right)",frontal bone,lateral palpebral raphe,"ophthalmic artery, zygomatico-orbital artery, angular artery","facial nerve [CNVII], zygomatic branch","closes eyelids (voluntary, winking/squeezing)",levator palpebrae superioris,2,3
"orbicularis oculi, palpebral part","head, forehead/eyelid (left/right)",medial palpebral ligament,lateral palpebral raphe,"ophthalmic artery, zygomatico-orbital artery, angular artery","facial nerve [CNVII], zygomatic branch","closes eyelids (involuntary, blinking/sleeping)",levator palpebrae superioris,2,3
"orbicularis oculi, deep palpebral (lacrimal) part","head, forehead/eyelid (left/right)",posterior crest of lacrimal bone,Edges of eyelids,"ophthalmic artery, zygomatico-orbital artery, angular artery","facial nerve [CNVII], zygomatic branch",facilitates tear ducts,?,2,3
corrugator supercilii,"head, eye (left/right)",nasal part of frontal bone,intermediate third of skin of eyebrow,ophthalmic artery,"facial nerve [CNVII], zygomatic branch",moves skin of forehead medially and inferiorly (towards root of nose),?,2,1
depressor supercilii,"head, eye (left/right)","nasal part of frontal bone, medial rim of orbit",medial third of skin of eyebrow,ophthalmic artery,"facial nerve [CNVII], zygomatic branch",moves skin of eyebrows inferiorly,?,2,1
levator palpebrae superioris,"head, extraocular (left/right)",sphenoid bone,"tarsal plate, upper eyelid",ophthalmic artery,oculomotor nerve [CNIII],retracts and elevates eyelid,orbicularis oculi,2,1
superior tarsal,"head, extraocular (left/right)",underside of levator palpebrae superioris,superior tarsal plate of eyelid,ophthalmic artery,sympathetic nervous system,raises upper eyelid,?,2,1
"rectus, superior","head, eye, orbit (left/right)",annulus of Zinn at orbital apex,7.5 mm superior to corneal limbus,ophthalmic artery,"oculomotor nerve [CNIII], superior branch","adducts, elevates, and medially rotates eye",Oblique Superior and inferior,2,1
